Legend,Disclaimer
,"The numbers, data and representations made below or on any of our underwriting is subject to change without notice. While we attempt to represent data accurately, revenues may not be accurate, projected depreciation may not be accurate or your personal circumstances and operating ability may not be reflected in the underwriting. All data below, all metrics herein are not guaranteed to be accurate and should not be used to make investment decisions, influence past or present decision making nor should you hold us liable for any inaccuracies by reading this and inferring data on your own assumptions. By working with us, viewing this, you acknowledge that none of this is tax or financial advice and should not be construed as such. Please refer to your financial advisor, CPA or other licensed professional for your specific tax and financial questions/needs."

Optimization List (Rough Estimate),Operating Expenses (OPEX),Monthly,
Internet,100,,
Water,60,,
Electricity,300,,
Natural Gas,0,,
Pest Control,50,,
Pool/Hot Tub Maintenance,150,,

Purchase Details,,,
Sarah & Husband - Top Properties,,,
"Property 1 - 2456 Oak Ridge Drive, Houston, TX 77056",,,
Purchase Price,310000,,
Down Payment (Do not alter),20%,62000,
Loan Amount,,248000,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1567,
Closing Costs (3%),,9300,
Total OOP,,71300,

Revenue Projections,Low,Mid,High
Monthly Rent,3753,4170,4587

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,1710,20520,
Net Operating Income,2460,29520,
Cash Flow,893,10716,
CoC Return,11.2%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,5.7%,11.2%,+5.5%
Appreciation (5Y),3.2%,4.1%,+0.9%
Tax Savings,1.8%,2.3%,+0.5%
Principal Paydown,2.1%,2.7%,+0.6%
Total Return (5Y),12.8%,20.3%,+7.5%

"Property 2 - 1892 Pine Valley Lane, Houston, TX 77084",,,
Purchase Price,395000,,
Down Payment (Do not alter),20%,79000,
Loan Amount,,316000,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1987,
Closing Costs (3%),,11850,
Total OOP,,90850,

Revenue Projections,Low,Mid,High
Monthly Rent,4901,5445,5990

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,2150,25800,
Net Operating Income,3295,39540,
Cash Flow,1308,15696,
CoC Return,10.8%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,-0.3%,10.8%,+11.1%
Appreciation (5Y),3.5%,4.3%,+0.8%
Tax Savings,2.1%,2.6%,+0.5%
Principal Paydown,2.3%,2.9%,+0.6%
Total Return (5Y),7.6%,20.6%,+13.0%

"Property 3 - 3421 Maple Street, Houston, TX 77002",,,
Purchase Price,270000,,
Down Payment (Do not alter),20%,54000,
Loan Amount,,216000,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1365,
Closing Costs (3%),,8100,
Total OOP,,62100,

Revenue Projections,Low,Mid,High
Monthly Rent,3800,4220,4640

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,1680,20160,
Net Operating Income,2540,30480,
Cash Flow,1175,14100,
CoC Return,10.5%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,4.2%,10.5%,+6.3%
Appreciation (5Y),3.8%,4.5%,+0.7%
Tax Savings,1.9%,2.4%,+0.5%
Principal Paydown,2.2%,2.8%,+0.6%
Total Return (5Y),12.1%,20.2%,+8.1%

Risahl - Top Properties,,,
"Property 1 - 3421 Maple Street, Houston, TX 77002",,,
Purchase Price,270000,,
Down Payment (Do not alter),20%,54000,
Loan Amount,,216000,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1365,
Closing Costs (3%),,8100,
Total OOP,,62100,

Revenue Projections,Low,Mid,High
Monthly Rent,3800,4220,4640

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,1680,20160,
Net Operating Income,2540,30480,
Cash Flow,1175,14100,
CoC Return,10.5%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,4.2%,10.5%,+6.3%
Appreciation (5Y),3.8%,4.5%,+0.7%
Tax Savings,1.9%,2.4%,+0.5%
Principal Paydown,2.2%,2.8%,+0.6%
Total Return (5Y),12.1%,20.2%,+8.1%

"Property 2 - 7890 Birch Road, Houston, TX 77008",,,
Purchase Price,280000,,
Down Payment (Do not alter),20%,56000,
Loan Amount,,224000,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1415,
Closing Costs (3%),,8400,
Total OOP,,64400,

Revenue Projections,Low,Mid,High
Monthly Rent,3750,4165,4580

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,1665,19980,
Net Operating Income,2500,30000,
Cash Flow,1085,13020,
CoC Return,9.8%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,4.5%,9.8%,+5.3%
Appreciation (5Y),3.6%,4.2%,+0.6%
Tax Savings,1.8%,2.2%,+0.4%
Principal Paydown,2.1%,2.6%,+0.5%
Total Return (5Y),12.0%,18.8%,+6.8%

"Property 3 - 3456 Oak Street, Houston, TX 77004",,,
Purchase Price,261000,,
Down Payment (Do not alter),20%,52200,
Loan Amount,,208800,
Interest Rate,6.5%,,
Loan Term,30 years,,
Monthly Payment,,1320,
Closing Costs (3%),,7830,
Total OOP,,60030,

Revenue Projections,Low,Mid,High
Monthly Rent,3720,4130,4540

Cash Flow Analysis,Monthly,Annual,
Operating Expenses,1630,19560,
Net Operating Income,2500,30000,
Cash Flow,1180,14160,
CoC Return,9.1%,,

Return Analysis,Initial,Optimized,Improvement
Cash on Cash Return,4.8%,9.1%,+4.3%
Appreciation (5Y),3.4%,4.0%,+0.6%
Tax Savings,1.7%,2.1%,+0.4%
Principal Paydown,2.0%,2.5%,+0.5%
Total Return (5Y),11.9%,17.7%,+5.8%

